IDPLAYER,PLAYERNAME,BIRTHDATE,FIRSTNAME,LASTNAME,TEAM,LG,POS,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,RETROID,BREFID,NFBCID,NFBCNAME,ESPNID,ESPNNAME,KFFLNAME,DAVENPORTID,BPID,YAHOOID,YAHOONAME,MSTRBLLNAME,BATS,THROWS,FANTPROSNAME,LASTCOMMAFIRST,ROTOWIREID,FANDUELNAME,FANDUELID,DRAFTKINGSNAME,OTTONEUID,HQID
jennida01,Dan Jennings,"Apr 17, 1987",Dan,Jennings,CHW,AL,P,8073,Dan Jennings,543359,Dan Jennings,1735789,Dan Jennings,jennd003,jennida01,9171,Dan Jennings,30555,Dan Jennings,,JENNINGS19870417A,58318,9171,Dan Jennings,"Jennings, Dan",L,L,,"Jennings, Dan",,Dan Jennings,13637,Dan Jennings,5204,
jennide01,Desmond Jennings,"Oct 30, 1986",Desmond,Jennings,TB,AL,OF,1965,Desmond Jennings,457775,Desmond Jennings,1623772,Desmond Jennings,jennd002,jennide01,8651,Desmond Jennings,30493,Desmond Jennings,Desmond Jennings,JENNINGS19861030A,51994,8651,Desmond Jennings,"Jennings, Desmond",R,R,Desmond Jennings,"Jennings, Desmond",10031,Desmond Jennings,11095,Desmond Jennings,2699,
jepseke01,Kevin Jepsen,"Jul 26, 1984",Kevin,Jepsen,TB,AL,P,6475,Kevin Jepsen,448178,Kevin Jepsen,1209013,Kevin Jepsen,jepsk001,jepseke01,8380,Kevin Jepsen,29265,Kevin Jepsen,,JEPSEN19840726A,45544,8380,Kevin Jepsen,"Jepsen, Kevin",R,R,Kevin Jepsen,"Jepsen, Kevin",7571,Kevin Jepsen,5594,Kevin Jepsen,1981,
jeterde01,Derek Jeter,"Jun 26, 1974",Derek,Jeter,N/A,N/A,SS,826,Derek Jeter,116539,Derek Jeter,7758,Derek Jeter,jeted001,jeterde01,5406,Derek Jeter,3246,Derek Jeter,Derek Jeter,JETER19740626A,1589,5406,Derek Jeter,"Jeter, Derek",R,R,,"Jeter, Derek",,,,,15173,
jimena.01,A.J. Jimenez,"May 1, 1990",A.J.,Jimenez,TOR,AL,C,sa454887,A.J. Jimenez,543362,A.J. Jimenez,1798970,A.J. Jimenez,,,,,31050,A.J. Jimenez,,JIMENEZ19900501A,58320,,,"Jimenez, A.J.",R,R,,"Jimenez, A.J.",,,,,17777,
jimenlu02,Luis Jimenez,"Jan 18, 1988",Luis,Jimenez,BOS,AL,3B,6341,Luis Jimenez,499864,Luis Jimenez,1811744,Luis Jimenez,jimel002,jimenlu02,9367,Luis Jimenez,31970,Luis Jimenez,,JIMENEZ19880118A,51540,9367,Luis Jiménez,"Jimenez, Luis",R,R,,"Jimenez, Luis",,Luis Jimenez,13907,,6315,
jimenub01,Ubaldo Jimenez,"Jan 22, 1984",Ubaldo,Jimenez,BAL,AL,P,3374,Ubaldo Jimenez,434622,Ubaldo Jimenez,533004,Ubaldo Jimenez,jimeu001,jimenub01,7900,Ubaldo Jimenez,28625,Ubaldo Jimenez,,JIMENEZ19840122A,37512,7900,Ubaldo Jimenez,"Jimenez, Ubaldo",R,R,Ubaldo Jimenez,"Jimenez, Ubaldo",8000,Ubaldo Jimenez,5085,Ubaldo Jimenez,1146,
johnsbr02,Brian Johnson,"Dec 7, 1990",Brian,Johnson,BOS,AL,P,14272,Brian Johnson,598271,Brian Johnson,2044522,,,johnsbr02,9999,,34400,Brian Johnson,,,68307,,,"Johnson, Brian",L,L,,"Johnson, Brian",,,,,,
johnsch05,Chris Johnson,"Oct 1, 1984",Chris,Johnson,MIA,NL,1B,1191,Chris Johnson,453400,Chris Johnson,1599171,Chris Johnson,johnc003,johnsch05,8585,Chris Johnson,29616,Chris Johnson,Chris D. Johnson,JOHNSON19841001A,52240,8585,Chris Johnson,"Johnson, Chris",R,R,Chris Johnson,"Johnson, Chris",9405,Chris Johnson,6308,Chris Johnson,2557,
johnsda06,Dan Johnson,"Aug 10, 1979",Dan,Johnson,N/A,N/A,1B,2167,Dan Johnson,430681,Dan Johnson,392909,Dan Johnson,johnd004,johnsda06,7436,Dan Johnson,6096,Dan Johnson,,JOHNSON19790810A,37587,7436,Dan Johnson,"Johnson, Dan",L,R,Dan Johnson,"Johnson, Dan",,Dan Johnson,11044,Dan Johnson,3840,
johnsel02,Elliot Johnson,"Mar 9, 1984",Elliot,Johnson,N/A,N/A,OF,4751,Elliot Johnson,471107,Elliot Johnson,548997,Elliot Johnson,johne002,johnsel02,8204,Elliot Johnson,29078,Elliot Johnson,,JOHNSON19840309A,37596,8204,Elliot Johnson,"Johnson, Elliot",B,R,,"Johnson, Elliot",,,,,989,
johnser04,Erik Johnson,"Dec 30, 1989",Erik,Johnson,SD,NL,P,12520,Erik Johnson,605304,Erik Johnson,1947826,Erik Johnson,johne001,johnser04,9516,Erik Johnson,32176,Erik Johnson,,JOHNSON19891230A,70456,9516,Erik Johnson,"Johnson, Erik",R,R,Erik Johnson,"Johnson, Erik",12211,Erik Johnson,38120,Erik Johnson,18230,4380
johnsji04,Jim Johnson,"Jun 27, 1983",Jim,Johnson,ATL,NL,P,3656,Jim Johnson,462382,Jim Johnson,580522,Jim Johnson,johnj010,johnsji04,7825,Jim Johnson,28531,Jim Johnson,,JOHNSON19830627A,37595,7825,Jim Johnson,"Johnson, Jim",R,R,Jim Johnson,"Johnson, Jim",8767,Jim Johnson,5586,Jim Johnson,655,
johnsjo09,Josh Johnson,"Jan 31, 1984",Josh,Johnson,N/A,N/A,P,4567,Josh Johnson,435178,Josh Johnson,546234,Josh Johnson,johnj009,johnsjo09,7669,Josh Johnson,6435,Josh Johnson,,JOHNSON19840131A,45545,7669,Josh Johnson,"Johnson, Josh",L,R,Josh Johnson,"Johnson, Josh",8233,Josh Johnson,5160,Josh Johnson,4360,
johnske05,Kelly Johnson,"Feb 22, 1982",Kelly,Johnson,NYM,NL,2B,2234,Kelly Johnson,430637,Kelly Johnson,292279,Kelly Johnson,johnk003,johnske05,7558,Kelly Johnson,6295,Kelly Johnson,Kelly Johnson,JOHNSON19820222A,31349,7558,Kelly Johnson,"Johnson, Kelly",L,R,Kelly Johnson,"Johnson, Kelly",6922,Kelly Johnson,5242,Kelly Johnson,12325,
johnsmi04,Micah Johnson,"Dec 18, 1990",Micah,Johnson,LAD,NL,2B,13809,Micah Johnson,608672,Micah Johnson,2065092,Micah Johnson,,johnsmi04,9560,Micah Johnson,33149,Micah Johnson,,,100301,9560,Micah Johnson,"Johnson, Micah",L,R,,"Johnson, Micah",,Micah Johnson,52149,,18304,
johnsni01,Nick Johnson,"Sep 19, 1978",Nick,Johnson,N/A,N/A,1B,828,Nick Johnson,276376,Nick Johnson,127563,Nick Johnson,johnn001,johnsni01,,,,,,JOHNSON19780919A,1590,,,"Johnson, Nick",L,L,,"Johnson, Nick",,,,,12592,
johnsre02,Reed Johnson,"Dec 8, 1976",Reed,Johnson,WAS,NL,OF,1702,Reed Johnson,407862,Reed Johnson,225381,Reed Johnson,johnr008,johnsre02,7118,Reed Johnson,5452,Reed Johnson,,JOHNSON19761208A,16613,7118,Reed Johnson,"Johnson, Reed",R,R,Reed Johnson,"Johnson, Reed",,Reed Johnson,6001,Reed Johnson,6910,
johnsro07,Rob Johnson,"Jul 22, 1983",Rob,Johnson,N/A,N/A,C,8029,Rob Johnson,453531,Rob Johnson,590372,Rob Johnson,johnr009,johnsro07,8101,Rob Johnson,28866,Rob Johnson,,JOHNSON19830722A,47903,8101,Rob Johnson,"Johnson, Rob",R,R,,"Johnson, Rob",,,,,1016,
johnsst02,Steve Johnson,"Aug 31, 1987",Steve,Johnson,SEA,AL,P,4053,Steve Johnson,489002,Steve Johnson,1727408,Steve Johnson,johns001,johnsst02,9205,Steve Johnson,30391,Steve Johnson,,JOHNSON19870831A,49386,9205,Steve Johnson,"Johnson, Steve",R,R,,"Johnson, Steve",,Steve Johnson,17137,Steve Johnson,17771,
jonesad01,Adam Jones,"Aug 1, 1985",Adam,Jones,BAL,AL,OF,6368,Adam Jones,430945,Adam Jones,479388,Adam Jones,jonea003,jonesad01,7812,Adam Jones,28513,Adam Jones,Adam Jones,JONES19850801A,45435,7812,Adam Jones,"Jones, Adam",R,R,Adam Jones,"Jones, Adam",8165,Adam Jones,5262,Adam Jones,1017,2361
jonesan01,Andruw Jones,"Apr 23, 1977",Andruw,Jones,NYY,AL,OF,96,Andruw Jones,116662,Andruw Jones,7764,Andruw Jones,jonea002,jonesan01,5681,Andruw Jones,,,,JONES19770423A,86,,,"Jones, Andruw",R,R,,"Jones, Andruw",,,,,8431,
jonesch06,Chipper Jones,"Apr 24, 1972",Chipper,Jones,N/A,N/A,3B,97,Chipper Jones,116706,Chipper Jones,7767,Chipper Jones,jonec004,jonesch06,,,3006,Chipper Jones,,JONES19720424A,85,,,"Jones, Chipper",R,R,,"Jones, Chipper",,,,,15251,
jonesga02,Garrett Jones,"Jun 21, 1981",Garrett,Jones,NYY,AL,OF,2714,Garrett Jones,434540,Garrett Jones,532869,Garrett Jones,joneg002,jonesga02,8024,Garrett Jones,28763,Garrett Jones,Garrett Jones,JONES19810621A,37650,8024,Garrett Jones,"Jones, Garrett",L,L,Garrett Jones,"Jones, Garrett",7221,Garrett Jones,5460,Garrett Jones,3143,
jonesja06,James Jones,"Sep 24, 1988",James,Jones,TEX,AL,OF,9767,James Jones,571825,James Jones,1740949,James Jones,jonej005,jonesja06,9674,James Jones,30684,James Jones,,JONES19880924A,60900,9674,James Jones,"Jones, James",L,L,James Jones,"Jones, James",10994,,,,6259,
jonesja07,JaCoby Jones,"May 10, 1992",JaCoby,Jones,DET,AL,3B,14818,JaCoby Jones,592444,JaCoby Jones,,,,jonesja07,,,34906,JaCoby Jones,,,,,,,R,R,,"Jones, JaCoby",,,,,,
jonesna01,Nate Jones,"Jan 28, 1986",Nate,Jones,CHW,AL,P,4696,Nate Jones,518858,Nate Jones,1784687,Nate Jones,jonen001,jonesna01,9141,Nate Jones,31136,Nate Jones,,JONES19860128A,56519,9141,Nate Jones,"Jones, Nate",R,R,,"Jones, Nate",,Nate Jones,13458,Nate Jones,4593,4064
jordata01,Taylor Jordan,"Jan 17, 1989",Taylor,Jordan,WAS,NL,P,10466,Taylor Jordan,518863,Taylor Jordan,2052551,Taylor Jordan,jordt001,jordata01,9442,Taylor Jordan,31701,Taylor Jordan,,JORDAN19890117A,59336,9442,Taylor Jordan,"Jordan, Taylor",R,R,,"Jordan, Taylor",,Taylor Jordan,39080,Taylor Jordan,12147,
josepca01,Caleb Joseph,"Jun 18, 1986",Caleb,Joseph,BAL,AL,C,7087,Caleb Joseph,543376,Caleb Joseph,1733485,Caleb Joseph,josec002,josepca01,9699,Caleb Joseph,30464,Caleb Joseph,,JOSEPH19860618A,58842,9699,Caleb Joseph,"Joseph, Caleb",R,R,Caleb Joseph,"Joseph, Caleb",11179,Caleb Joseph,13473,Caleb Joseph,5206,
josepco01,Corban Joseph,"Oct 28, 1988",Corban,Joseph,NYY,AL,2B,5503,Corban Joseph,543377,Corban Joseph,1806048,Corban Joseph,josec001,josephco01,9387,Corban Joseph,31250,Corban Joseph,,JOSEPH19881028A,58329,9387,Corban Joseph,"Joseph, Corban",L,R,,"Joseph, Corban",,,,,4414,
josepto01,Tommy Joseph,"Jul 16, 1991",Tommy,Joseph,PHI,NL,1B,10349,Tommy Joseph,571830,Tommy Joseph,,,,josepto01,,,31995,Tommy Joseph,,,,,,,R,R,,"Joseph, Tommy",,,,,,
joycema01,Matt Joyce,"Aug 3, 1984",Matt,Joyce,OAK,AL,OF,3353,Matt Joyce,459964,Matt Joyce,1208719,Matt Joyce,joycm001,joycema01,8239,Matt Joyce,29124,Matt Joyce,Matt Joyce,JOYCE19840803A,47952,8239,Matt Joyce,"Joyce, Matt",L,R,Matt Joyce,"Joyce, Matt",9710,Matt Joyce,6005,Matt Joyce,3512,
judgeaa01,Aaron Judge,"Apr 26, 1992",Aaron,Judge,NYY,AL,OF,15640,Aaron Judge,592450,Aaron Judge,2071264,,,judgeaa01,9877,,33192,Aaron Judge,,,68603,,,"Judge, Aaron",R,R,Aaron Judge,"Judge, Aaron",,,,Aaron Judge,,
jungmta01,Taylor Jungmann,"Dec 18, 1989",Taylor,Jungmann,MIL,NL,P,13119,Taylor Jungmann,543380,Taylor Jungmann,1894630,Taylor Jungmann,,jungmta01,9990,,32045,Taylor Jungmann,,,70756,9990,Taylor Jungmann,"Jungmann, Taylor",R,R,Taylor Jungmann,"Jungmann, Taylor",,Taylor Jungmann,17163,Taylor Jungmann,18125,4868
jurrjja01,Jair Jurrjens,"Jan 29, 1986",Jair,Jurrjens,N/A,N/A,P,5556,Jair Jurrjens,457453,Jair Jurrjens,1199811,Jair Jurrjens,jurrj001,jurrjja01,8091,Jair Jurrjens,28854,Jair Jurrjens,,JURRJENS19860129A,46186,8091,Jair Jurrjens,"Jurrjens, Jair",R,R,,"Jurrjens, Jair",,,,,3513,
kaaihki01,Kila Ka'aihue,"Mar 29, 1984",Kila,Ka'aihue,N/A,N/A,1B,4707,Kila Ka'aihue,451500,Kila Ka'aihue,1208721,Kila Ka'aihue,kaaik001,kaaihki01,8363,Kila Ka'aihue,,,,KAAIHUE19840329A,46188,8363,Kila Ka'aihue,"Ka'aihue, Kila",L,R,,"Ka'aihue, Kila",,,,,5531,
kalisry01,Ryan Kalish,"Mar 28, 1988",Ryan,Kalish,CHC,NL,OF,6962,Ryan Kalish,501888,Ryan Kalish,1630083,Ryan Kalish,kalir001,kalisry01,8626,Ryan Kalish,30539,Ryan Kalish,,KALISH19880328A,51105,8626,Ryan Kalish,"Kalish, Ryan",L,L,Ryan Kalish,"Kalish, Ryan",,Ryan Kalish,12472,,5097,
kangju01,Jung-Ho Kang,"Apr 5, 1987",Jung-Ho,Kang,PIT,NL,3B,17182,Jung Ho Kang,628356,Jung Ho Kang,2166699,Jung Ho Kang,,kangju01,9884,Jung Ho Kang,33689,Jung Ho Kang,,,102282,9884,Jung Ho Kang,"Kang, Jung-Ho",R,R,Jung-Ho Kang,"Kang, Jung-Ho",13685,Jung Ho Kang,60650,Jung Ho Kang,18413,4862
karnsna01,Nate Karns,"Nov 25, 1987",Nate,Karns,SEA,AL,P,12638,Nate Karns,501992,Nate Karns,2027437,Nathan Karns,karnn001,karnsna01,9410,Nathan Karns,32607,Nathan Karns,,KARNS19871125A,69123,9410,Nathan Karns,"Karns, Nate",R,R,,"Karns, Nate",,Nathan Karns,38183,Nathan Karns,13872,4374
karstje01,Jeff Karstens,"Sep 24, 1982",Jeff,Karstens,N/A,N/A,P,5879,Jeff Karstens,444371,Jeff Karstens,580587,Jeff Karstens,karsj001,karstje01,7840,Jeff Karstens,28552,Jeff Karstens,,KARSTENS19820924A,46117,7840,Jeff Karstens,"Karstens, Jeff",R,R,,"Karstens, Jeff",,,,,3720,
kawasmu01,Munenori Kawasaki,"Jun 3, 1981",Munenori,Kawasaki,CHC,NL,2B,13047,Munenori Kawasaki,493128,Munenori Kawasaki,1935585,Munenori Kawasaki,kawam001,kawasmu01,9134,Munenori Kawasaki,32047,Munenori Kawasaki,,KAWASAKI00000000B,37792,9134,Munenori Kawasaki,"Kawasaki, Munenori",L,R,Munenori Kawasaki,"Kawasaki, Munenori",,Munenori Kawasaki,16971,,18235,
kazmisc01,Scott Kazmir,"Jan 24, 1984",Scott,Kazmir,LAD,NL,P,4897,Scott Kazmir,431148,Scott Kazmir,483346,Scott Kazmir,kazms001,kazmisc01,7292,Scott Kazmir,5917,Scott Kazmir,,KAZMIR19840124A,31506,7292,Scott Kazmir,"Kazmir, Scott",L,L,Scott Kazmir,"Kazmir, Scott",7259,Scott Kazmir,5624,Scott Kazmir,4724,1176
kearnau01,Austin Kearns,"May 20, 1980",Austin,Kearns,MIA,NL,OF,332,Austin Kearns,400290,Austin Kearns,181966,Austin Kearns,keara001,kearnau01,6851,Austin Kearns,5012,Austin Kearns,,KEARNS19800520A,783,6851,Austin Kearns,"Kearns, Austin",R,R,,"Kearns, Austin",,,,,8394,
kelake01,Keone Kela,"Apr 16, 1993",Keone,Kela,TEX,AL,P,14696,Keone Kela,605309,Keone Kela,2121080,Keone Kela,,kelake01,9916,Keone Kela,33497,Keone Kela,,,71016,9916,Keone Kela,"Kela, Keone",R,R,Keone Kela,"Kela, Keone",,Keone Kela,53953,Keone Kela,18432,4797
kellesh01,Shawn Kelley,"Apr 26, 1984",Shawn,Kelley,WAS,NL,P,7773,Shawn Kelley,518875,Shawn Kelley,1660812,Shawn Kelley,kells001,kellesh01,8439,Shawn Kelley,30258,Shawn Kelley,,KELLEY19840426A,56533,8439,Shawn Kelley,"Kelley, Shawn",R,R,Shawn Kelley,"Kelley, Shawn",10865,Shawn Kelley,5384,Shawn Kelley,6814,3194
kellyca01,Casey Kelly,"Oct 4, 1989",Casey,Kelly,ATL,NL,P,9174,Casey Kelly,543391,Casey Kelly,1697837,Casey Kelly,kellc001,kellyca01,8867,Casey Kelly,30520,Casey Kelly,,KELLY19891004A,58343,8867,Casey Kelly,"Kelly, Casey",R,R,Casey Kelly,"Kelly, Casey",10474,Casey Kelly,12939,Casey Kelly,5096,
kellydo01,Don Kelly,"Feb 15, 1980",Don,Kelly,MIA,NL,1B,2216,Don Kelly,430603,Don Kelly,448411,Don Kelly,kelld001,kellydo01,7998,Don Kelly,28730,Don Kelly,,KELLY19800215A,37860,7998,Don Kelly,"Kelly, Don",L,R,Don Kelly,"Kelly, Don",,Don Kelly,6009,Don Kelly,6839,
kellyjo05,Joe Kelly,"Jun 9, 1988",Joe,Kelly,BOS,AL,P,9761,Joe Kelly,523260,Joe Kelly,1794767,Joe Kelly,kellj001,kellyjo05,9212,Joe Kelly,31992,Joe Kelly,,KELLY19880609A,59351,9212,Joe Kelly,"Kelly, Joe",R,R,Joe Kelly,"Kelly, Joe",11053,Joe Kelly,13479,Joe Kelly,6292,4120
kempma01,Matt Kemp,"Sep 23, 1984",Matt,Kemp,ATL,NL,OF,5631,Matt Kemp,461314,Matt Kemp,549974,Matt Kemp,kempm001,kempma01,7780,Matt Kemp,28476,Matt Kemp,Matt Kemp,KEMP19840923A,45436,7780,Matt Kemp,"Kemp, Matt",R,R,Matt Kemp,"Kemp, Matt",8991,Matt Kemp,5292,Matt Kemp,3745,2303
kendaja01,Jason Kendall,"Jun 26, 1974",Jason,Kendall,N/A,N/A,C,993,Jason Kendall,116974,Jason Kendall,7784,Jason Kendall,kendj001,kendaja01,,,,,,KENDALL19740626A,724,,,"Kendall, Jason",R,R,,"Kendall, Jason",,,,,15266,
kendrho01,Howie Kendrick,"Jul 12, 1983",Howie,Kendrick,PHI,NL,2B,4229,Howie Kendrick,435062,Howard Kendrick,489785,Howard Kendrick,kendh001,kendrho01,7746,Howie Kendrick,6524,Howie Kendrick,Howie Kendrick,KENDRICK19830712A,45437,7746,Howie Kendrick,"Kendrick, Howie",R,R,Howie Kendrick,"Kendrick, Howie",7901,Howie Kendrick,5591,Howie Kendrick,4119,2246
kendrky01,Kyle Kendrick,"Aug 26, 1984",Kyle,Kendrick,ATL,NL,P,6230,Kyle Kendrick,452718,Kyle Kendrick,1225738,Kyle Kendrick,kendk001,kendrky01,8053,Kyle Kendrick,28804,Kyle Kendrick,,KENDRICK19840826A,48029,8053,Kyle Kendrick,"Kendrick, Kyle",R,R,Kyle Kendrick,"Kendrick, Kyle",8110,Kyle Kendrick,6010,Kyle Kendrick,1396,2671
kennead01,Adam Kennedy,"Jan 10, 1976",Adam,Kennedy,N/A,N/A,2B,19,Adam Kennedy,150456,Adam Kennedy,26039,Adam Kennedy,kenna001,kennead01,6318,Adam Kennedy,,,,KENNEDY19760110A,884,,,"Kennedy, Adam",L,R,,"Kennedy, Adam",,,,,9278,
kenneia01,Ian Kennedy,"Dec 19, 1984",Ian,Kennedy,KC,AL,P,6986,Ian Kennedy,453178,Ian Kennedy,1262690,Ian Kennedy,kenni001,kenneia01,8099,Ian Kennedy,28864,Ian Kennedy,,KENNEDY19841219A,52572,8099,Ian Kennedy,"Kennedy, Ian",R,R,Ian Kennedy,"Kennedy, Ian",9309,Ian Kennedy,8101,Ian Kennedy,2162,2744
keplema01,Max Kepler,"Feb 10, 1993",Max,Kepler,MIN,AL,OF,12144,Max Kepler,596146,Max Kepler,2044504,,,keplema01,10095,,31870,Max Kepler,,,68091,,,,L,L,Max Kepler,,,,,Max Kepler,14131,
keppije01,Jeff Keppinger,"Apr 21, 1980",Jeff,Keppinger,CHW,AL,2B,3856,Jeff Keppinger,433898,Jeff Keppinger,393033,Jeff Keppinger,keppj001,keppije01,7414,Jeff Keppinger,6076,Jeff Keppinger,Jeff Keppinger,KEPPINGER19800421A,37894,7414,Jeff Keppinger,"Keppinger, Jeff",R,R,,"Keppinger, Jeff",,,,,3780,
kershcl01,Clayton Kershaw,"Mar 19, 1988",Clayton,Kershaw,LAD,NL,P,2036,Clayton Kershaw,477132,Clayton Kershaw,1221725,Clayton Kershaw,kersc001,kershcl01,8180,Clayton Kershaw,28963,Clayton Kershaw,,KERSHAW19880319A,49786,8180,Clayton Kershaw,"Kershaw, Clayton",L,L,Clayton Kershaw,"Kershaw, Clayton",9276,Clayton Kershaw,5427,Clayton Kershaw,2925,2840
keuchda01,Dallas Keuchel,"Jan 1, 1988",Dallas,Keuchel,HOU,AL,P,9434,Dallas Keuchel,572971,Dallas Keuchel,1979965,Dallas Keuchel,keucd001,keuchda01,9217,Dallas Keuchel,31815,Dallas Keuchel,,KEUCHEL19880101A,60448,9217,Dallas Keuchel,"Keuchel, Dallas",L,L,Dallas Keuchel,"Keuchel, Dallas",11751,Dallas Keuchel,23089,Dallas Keuchel,4782,4126
kiermke01,Kevin Kiermaier,"Apr 22, 1990",Kevin,Kiermaier,TB,AL,OF,11038,Kevin Kiermaier,595281,Kevin Kiermaier,1812666,Kevin Kiermaier,kierk001,kiermke01,9538,Kevin Kiermaier,31446,Kevin Kiermaier,,KIERMAIER19900422A,67964,9538,Kevin Kiermaier,"Kiermaier, Kevin",L,R,Kevin Kiermaier,"Kiermaier, Kevin",13135,Kevin Kiermaier,13961,Kevin Kiermaier,14209,4529
kimbrcr01,Craig Kimbrel,"May 28, 1988",Craig,Kimbrel,BOS,AL,P,6655,Craig Kimbrel,518886,Craig Kimbrel,1718083,Craig Kimbrel,kimbc001,kimbrcr01,8622,Craig Kimbrel,30653,Craig Kimbrel,,KIMBREL19880528A,58350,8622,Craig Kimbrel,"Kimbrel, Craig",R,R,Craig Kimbrel,"Kimbrel, Craig",10565,Craig Kimbrel,11333,Craig Kimbrel,5677,3470
kimhy01,Hyun-soo Kim,"Jan 12, 1988",Hyun-soo,Kim,BAL,AL,OF,18718,Hyun Soo Kim,547957,Hyun-soo Kim,2215560,,,kimhy01,10104,,34885,Hyun Soo Kim,,,59497,,,,L,R,Hyun-soo Kim,"Kim, Hyun-soo",,Hyun Soo Kim,68410,Hyun Soo Kim,23579,
kinnejo01,Josh Kinney,"Mar 31, 1979",Josh,Kinney,N/A,N/A,P,3638,Josh Kinney,448337,Josh Kinney,1113312,Josh Kinney,kinnj001,kinnejo01,7806,Josh Kinney,,,,KINNEY19790331A,37983,7806,Josh Kinney,"Kinney, Josh",R,R,,"Kinney, Josh",,,,,5595,
kinslia01,Ian Kinsler,"Jun 22, 1982",Ian,Kinsler,DET,AL,2B,6195,Ian Kinsler,435079,Ian Kinsler,489854,Ian Kinsler,kinsi001,kinslia01,7490,Ian Kinsler,6197,Ian Kinsler,Ian Kinsler,KINSLER19820622A,45438,7490,Ian Kinsler,"Kinsler, Ian",R,R,Ian Kinsler,"Kinsler, Ian",8389,Ian Kinsler,5504,Ian Kinsler,7126,2197
kintzbr01,Brandon Kintzler,"Aug 1, 1984",Brandon,Kintzler,MIN,AL,P,9939,Brandon Kintzler,445213,Brandon Kintzler,1769564,Brandon Kintzler,kintb001,kintzbr01,8821,Brandon Kintzler,30959,Brandon Kintzler,,KINTZLER19840801A,46298,8821,Brandon Kintzler,"Kintzler, Brandon",R,R,,"Kintzler, Brandon",11432,Brandon Kintzler,12581,Brandon Kintzler,5183,
kipnija01,Jason Kipnis,"Apr 3, 1987",Jason,Kipnis,CLE,AL,2B,9776,Jason Kipnis,543401,Jason Kipnis,1754188,Jason Kipnis,kipnj001,kipnija01,8853,Jason Kipnis,31007,Jason Kipnis,Jason Kipnis,KIPNIS19870403A,60007,8853,Jason Kipnis,"Kipnis, Jason",L,R,Jason Kipnis,"Kipnis, Jason",10625,Jason Kipnis,12925,Jason Kipnis,8617,3664
kirkmmi01,Michael Kirkman,"Sep 18, 1986",Michael,Kirkman,MIL,NL,P,9877,Michael Kirkman,457779,Michael Kirkman,1725466,Michael Kirkman,kirkm001,kirkmmi01,8790,Michael Kirkman,30571,Michael Kirkman,,KIRKMAN19860918A,46291,8790,Michael Kirkman,"Kirkman, Michael",L,L,,"Kirkman, Michael",,,,Michael Kirkman,5439,
klubeco01,Corey Kluber,"Apr 10, 1986",Corey,Kluber,CLE,AL,P,2429,Corey Kluber,446372,Corey Kluber,1759018,Corey Kluber,klubc001,klubeco01,9048,Corey Kluber,30981,Corey Kluber,,KLUBER19860410A,57424,9048,Corey Kluber,"Kluber, Corey",R,R,Corey Kluber,"Kluber, Corey",9875,Corey Kluber,13627,Corey Kluber,6965,3906
knebeco01,Corey Knebel,"Nov 26, 1991",Corey,Knebel,MIL,NL,P,15010,Corey Knebel,608349,Corey Knebel,2066314,Corey Knebel,knebc001,knebeco01,9712,Corey Knebel,33206,Corey Knebel,,,70620,9712,Corey Knebel,"Knebel, Corey",R,R,Corey Knebel,"Knebel, Corey",,Corey Knebel,52865,Corey Knebel,18296,
koehlto01,Tom Koehler,"Jun 29, 1986",Tom,Koehler,MIA,NL,P,6570,Tom Koehler,543408,Tom Koehler,1795805,Tom Koehler,koeht001,koehlto01,9294,Tom Koehler,31079,Tom Koehler,,KOEHLER19860629A,58356,9294,Tom Koehler,"Koehler, Tom",R,R,Tom Koehler,"Koehler, Tom",11941,Tom Koehler,13415,Tom Koehler,17751,4196
konerpa01,Paul Konerko,"Mar 5, 1976",Paul,Konerko,N/A,N/A,1B,242,Paul Konerko,117244,Paul Konerko,7791,Paul Konerko,konep001,konerpa01,5908,Paul Konerko,3747,Paul Konerko,Paul Konerko,KONERKO19760305A,1542,5908,Paul Konerko,"Konerko, Paul",R,R,,"Konerko, Paul",,,,,8458,
kontoge01,George Kontos,"Jun 12, 1985",George,Kontos,SF,NL,P,9486,George Kontos,502004,George Kontos,1663105,George Kontos,kontg001,kontoge01,9064,George Kontos,30991,George Kontos,,KONTOS19850612A,50087,9064,George Kontos,"Kontos, George",R,R,,"Kontos, George",,George Kontos,13403,George Kontos,3289,
korecbo01,Bobby Korecky,"Sep 16, 1979",Bobby,Korecky,N/A,N/A,P,4608,Bobby Korecky,445090,Bobby Korecky,451982,Bobby Korecky,koreb001,korecbo01,8230,Bobby Korecky,29112,Bobby Korecky,,KORECKY19790916A,38132,8230,Bobby Korecky,"Korecky, Bobby",R,R,,"Korecky, Bobby",,,,,3144,
kotchca01,Casey Kotchman,"Feb 22, 1983",Casey,Kotchman,MIA,NL,1B,1930,Casey Kotchman,425773,Casey Kotchman,387403,Casey Kotchman,kotcc001,kotchca01,7293,Casey Kotchman,,,,KOTCHMAN19830222A,31601,7293,Casey Kotchman,"Kotchman, Casey",L,L,,"Kotchman, Casey",,,,,10986,
